1,	100,	0,	-nan
2,	100,	0,	-nan
3,	100,	1,	45.5937
4,	100,	4,	6.60995
5,	100,	9,	6.61159
6,	100,	22,	9.31396
7,	100,	37,	22.3688
8,	100,	47,	20.964
9,	100,	56,	24.9872
10,	100,	65,	24.5894
11,	100,	72,	24.2231
12,	100,	76,	25.8792
13,	100,	79,	27.8175
14,	100,	81,	29.3868
15,	100,	81,	32.0003
16,	100,	83,	33.7318
17,	100,	84,	25.7114
18,	100,	84,	26.3902
19,	100,	84,	30.4544
20,	100,	84,	35.2578
21,	100,	84,	38.5693
22,	100,	84,	39.3418
23,	100,	84,	37.7258
24,	100,	84,	38.8596
25,	100,	84,	35.0935
26,	100,	84,	32.2477
27,	100,	84,	25.6352
28,	100,	84,	23.3607
29,	100,	84,	23.0268
30,	100,	84,	21.847
31,	100,	84,	21.8956
32,	100,	84,	19.7576
33,	100,	84,	19.1074
34,	100,	84,	18.2058
35,	100,	84,	17.4913
36,	100,	84,	17.5028
37,	100,	84,	17.0615
38,	100,	84,	17.37
39,	100,	84,	17.4806
40,	100,	84,	16.3363
41,	100,	84,	16.541
42,	100,	84,	16.3881
43,	100,	84,	16.9825
44,	100,	84,	17.8887
45,	100,	84,	18.3705
46,	100,	84,	20.0923
47,	100,	84,	20.0152
48,	100,	84,	20.039
49,	100,	84,	20.1146
50,	100,	84,	20.1376
51,	100,	84,	20.1167
52,	100,	84,	20.0655
53,	100,	84,	20.2254
54,	100,	84,	20.2154
55,	100,	84,	20.1355
56,	100,	84,	20.2146
57,	100,	84,	20.2229
58,	100,	84,	20.2067
59,	100,	84,	20.2496
60,	100,	84,	20.1999
61,	100,	84,	20.1187
62,	100,	84,	20.129
63,	100,	84,	20.1053
64,	100,	84,	20.1991
65,	100,	84,	20.3293
66,	100,	84,	20.3439
67,	100,	84,	20.3224
68,	100,	84,	20.3962
69,	100,	84,	20.377
70,	100,	84,	20.3795
71,	100,	84,	20.3669
72,	100,	84,	20.379
73,	100,	84,	20.3823
74,	100,	84,	20.3886
75,	100,	84,	20.3874
76,	100,	84,	20.3234
77,	100,	84,	20.3977
78,	100,	84,	20.4181
79,	100,	84,	20.4773
80,	100,	84,	20.4778
81,	100,	84,	20.4737
82,	100,	84,	20.4899
83,	100,	84,	20.4817
84,	100,	84,	20.4687
85,	100,	84,	20.487
86,	100,	84,	20.487
87,	100,	84,	20.4532
88,	100,	84,	20.4483
89,	100,	84,	20.478
90,	100,	84,	20.4779
91,	100,	84,	20.4698
92,	100,	84,	20.6448
93,	100,	84,	20.668
94,	100,	84,	20.763
95,	100,	84,	20.7482
96,	100,	84,	20.7636
97,	100,	84,	20.6471
98,	100,	84,	20.7021
99,	100,	84,	20.7651
